"Cell","Ridge","X","Y"
"Curved_test",32,31.6549,16.42575
"Curved_test",32,31.50985,16.49825
"Curved_test",33,24.11285,16.57075
"Curved_test",33,24.04035,16.6433
"Curved_test",33,23.93155,16.71585
"Curved_test",33,23.82275,16.78835
"Curved_test",33,23.75025,16.8971
"Curved_test",33,23.67775,17.11465
"Curved_test",34,24.69305,16.71585
"Curved_test",34,24.76555,16.78835
"Curved_test",35,28.75415,16.86085
"Curved_test",35,28.82665,16.78835
"Curved_test",37,22.88005,16.93335
"Curved_test",37,26.36095,17.07845
"Curved_test",37,26.4335,17.15095
"Curved_test",37,26.50605,17.296
"Curved_test",37,26.57855,17.4773
"Curved_test",37,26.50605,17.8399
"Curved_test",37,26.4335,18.2025
"Curved_test",39,30.27705,17.51355
"Curved_test",39,30.20455,17.44105
"Curved_test",39,30.09575,17.3685
"Curved_test",39,29.9507,17.29595
"Curved_test",39,29.80565,17.22345
"Curved_test",39,27.63005,17.0059
"Curved_test",41,31.2198,17.44105
"Curved_test",41,31.111,17.51355
"Curved_test",41,31.00225,17.58605
"Curved_test",41,30.92975,17.65855
"Curved_test",41,30.8572,17.7311
"Curved_test",41,30.78465,17.80365
"Curved_test",41,30.6759,17.87615
"Curved_test",41,30.56715,17.94865
"Curved_test",41,30.4946,18.02115
"Curved_test",41,30.42205,18.0937
"Curved_test",41,30.34955,18.16625
"Curved_test",41,30.27705,18.23875
"Curved_test",41,30.20455,18.31125
"Curved_test",41,30.09575,18.38375
"Curved_test",41,29.87815,18.4563
"Curved_test",41,27.039984,17.3685
"Curved_test",41,24.11285,17.3685
"Curved_test",43,32.96025,17.87615
"Curved_test",43,32.88775,17.94865
"Curved_test",43,32.81525,18.02115
"Curved_test",43,32.74275,18.0937
"Curved_test",43,32.6702,18.16625
"Curved_test",43,32.59765,18.275
"Curved_test",43,32.6702,18.4563
"Curved_test",43,22.8075,17.58605
"Curved_test",44,23.8953,17.87615
"Curved_test",44,23.82275,17.94865
"Curved_test",44,23.64145,18.02115
"Curved_test",44,23.46015,17.94865
"Curved_test",45,28.24645,18.0937
"Curved_test",45,28.17395,18.16625
"Curved_test",45,28.0652,18.23875
"Curved_test",45,27.9564,18.31125
"Curved_test",45,27.88385,18.38375
"Curved_test",45,27.81135,18.7826
"Curved_test",45,27.73885,19.1815
"Curved_test",45,27.66635,19.25405
"Curved_test",45,27.5938,19.3628
"Curved_test",46,28.39155,18.8189
"Curved_test",46,28.46405,18.74635
"Curved_test",46,28.6091,18.67385
"Curved_test",46,28.7904,18.60135
"Curved_test",46,28.89915,18.52885
"Curved_test",47,23.859,19.83415
"Curved_test",47,23.46015,19.76165
"Curved_test",47,23.38765,19.68915
"Curved_test",47,23.31515,19.58035
"Curved_test",47,23.24265,19.4353
"Curved_test",47,23.31515,19.32655
"Curved_test",47,23.2789,18.60135
"Curved_test",47,23.4239,18.67385
"Curved_test",47,23.5327,18.74635
"Curved_test",47,23.67775,18.8189
"Curved_test",47,23.8953,18.89145
"Curved_test",47,24.0766,18.96395
"Curved_test",47,24.22165,19.03645
"Curved_test",47,24.33045,19.10895
"Curved_test",47,24.40295,19.3628
"Curved_test",47,24.33045,19.61665
"Curved_test",47,24.2579,19.7254
"Curved_test",48,27.0499,18.67385
"Curved_test",48,26.94115,18.74635
"Curved_test",48,26.7961,18.8189
"Curved_test",48,26.65105,18.89145
"Curved_test",48,26.5423,18.96395
"Curved_test",48,26.4335,19.03645
"Curved_test",49,27.5938,21.64715
"Curved_test",49,27.52125,21.57465
"Curved_test",49,27.4125,21.50215
"Curved_test",49,27.30375,21.39335
"Curved_test",49,27.2312,21.2483
"Curved_test",49,27.15865,21.13955
"Curved_test",49,27.08615,21.03075
"Curved_test",49,27.01365,20.92195
"Curved_test",49,26.94115,20.84945
"Curved_test",49,26.8686,20.77695
"Curved_test",49,26.79605,20.70445
"Curved_test",49,26.72355,20.4869
"Curved_test",49,26.65105,20.2693
"Curved_test",49,26.57855,20.19675
"Curved_test",49,26.50605,20.12425
"Curved_test",49,26.4335,20.05175
"Curved_test",49,26.36095,19.97925
"Curved_test",49,26.28845,19.9067
"Curved_test",49,26.21595,19.83415
"Curved_test",49,26.14345,19.7254
"Curved_test",49,26.0709,19.61665
"Curved_test",49,25.99835,19.50785
"Curved_test",49,25.92585,19.3628
"Curved_test",49,25.85335,19.25405
"Curved_test",49,25.78085,19.14525
"Curved_test",49,25.7083,19.0002
"Curved_test",49,25.63575,18.89145
"Curved_test",49,25.56325,18.8189
"Curved_test",49,25.49075,18.74635
"Curved_test",51,32.88775,19.76165
"Curved_test",51,32.81525,19.68915
"Curved_test",51,32.74275,19.61665
"Curved_test",51,32.6702,19.5441
"Curved_test",51,32.5614,19.47155
"Curved_test",51,32.45265,19.39905
"Curved_test",51,32.38015,19.32655
"Curved_test",51,32.27135,19.25405
"Curved_test",51,31.3286,18.89145
"Curved_test",53,28.10145,19.68915
"Curved_test",53,28.02895,19.76165
"Curved_test",53,27.9564,19.83415
"Curved_test",55,29.0442,20.12425
"Curved_test",55,29.11675,20.12425
"Curved_test",55,29.11675,20.19675
