Cell,Ridge, X, Y
Curved_test,8 , 32.0538 , 11.9658
Curved_test,9 , 29.8057 , 12.6185
Curved_test,9 , 29.7331 , 12.6185
Curved_test,9 , 29.7331 , 12.691
Curved_test,9 , 29.5156 , 12.691
Curved_test,9 , 29.5156 , 12.7635
Curved_test,9 , 29.298 , 12.7635
Curved_test,9 , 29.298 , 12.691
Curved_test,9 , 29.5156 , 12.691
Curved_test,9 , 29.5156 , 12.6185
Curved_test,9 , 29.7331 , 12.6185
Curved_test,9 , 29.7331 , 12.5459
Curved_test,9 , 29.8057 , 12.5459
Curved_test,10 , 27.7026 , 12.691
Curved_test,10 , 27.8476 , 12.691
Curved_test,10 , 27.8476 , 12.7635
Curved_test,10 , 27.9927 , 12.7635
Curved_test,10 , 27.9927 , 12.836
Curved_test,10 , 27.8476 , 12.836
Curved_test,10 , 27.8476 , 12.7635
Curved_test,10 , 27.7026 , 12.7635
Curved_test,10 , 27.7026 , 12.691
Curved_test,10 , 27.6301 , 12.691
Curved_test,10 , 27.6301 , 12.6185
Curved_test,10 , 27.7026 , 12.6185
Curved_test,11 , 31.2561 , 12.836
Curved_test,11 , 31.1835 , 12.836
Curved_test,11 , 31.1835 , 12.7635
Curved_test,11 , 31.2561 , 12.7635
Curved_test,12 , 23.9316 , 12.9085
Curved_test,12 , 23.7865 , 12.9085
Curved_test,12 , 23.7865 , 12.836
Curved_test,12 , 23.9316 , 12.836
Curved_test,13 , 30.5309 , 12.9085
Curved_test,13 , 30.4583 , 12.9085
Curved_test,13 , 30.4583 , 12.9811
Curved_test,13 , 30.2408 , 12.9811
Curved_test,13 , 30.2408 , 13.0536
Curved_test,13 , 30.1683 , 13.0536
Curved_test,13 , 30.1683 , 12.9811
Curved_test,13 , 30.2408 , 12.9811
Curved_test,13 , 30.2408 , 12.9085
Curved_test,13 , 30.4583 , 12.9085
Curved_test,13 , 30.4583 , 12.836
Curved_test,13 , 30.5309 , 12.836
Curved_test,14 , 26.5423 , 13.1261
Curved_test,14 , 26.3972 , 13.1261
Curved_test,14 , 26.3972 , 13.0536
Curved_test,14 , 26.5423 , 13.0536
Curved_test,15 , 25.382 , 13.4887
Curved_test,15 , 25.3094 , 13.4887
Curved_test,15 , 25.3094 , 13.4162
Curved_test,15 , 25.382 , 13.4162
Curved_test,16 , 24.8743 , 13.6337
Curved_test,16 , 24.7293 , 13.6337
Curved_test,16 , 24.7293 , 13.7063
Curved_test,16 , 24.6568 , 13.7063
Curved_test,16 , 24.6568 , 13.8513
Curved_test,16 , 24.5842 , 13.8513
Curved_test,16 , 24.5842 , 13.7063
Curved_test,16 , 24.6568 , 13.7063
Curved_test,16 , 24.6568 , 13.6337
Curved_test,16 , 24.7293 , 13.6337
Curved_test,16 , 24.7293 , 13.5612
Curved_test,16 , 24.8743 , 13.5612
Curved_test,17 , 23.6415 , 13.7788
Curved_test,17 , 23.7865 , 13.7788
Curved_test,17 , 23.7865 , 13.8513
Curved_test,17 , 23.6415 , 13.8513
Curved_test,17 , 23.6415 , 13.7788
Curved_test,17 , 23.569 , 13.7788
Curved_test,17 , 23.569 , 13.8513
Curved_test,17 , 23.4964 , 13.8513
Curved_test,17 , 23.4964 , 13.9238
